Borrower ID,LoanType,Total Loan Amt,Mth1 paysts (May),Mth2 paysts (Apr),Mth3 paysts (Mar),Mth4 paysts (Feb),Mth5 paysts (Jan),Mth6 paysts (Dec 17),Mth7 paysts (Nov 17),Mth8 paysts (Oct 17),Mth9 paysts (Sep 17),Mth10 paysts (Aug 17),Mth11 paysts (Jul17),Mth12 paysts (Jun 17),obn,Loan Principal Amt,Loan Type,Is MECB member,Is MLCB member
2828,UNSECURED,572.0,-,-,-,-,-,-,-,-,-,-,CL,OK,MAIN BORROWER,350,Personal - Pay Day,False,False
2225,UNSECURED,676.0,-,-,-,-,CL,OK,-,-,-,-,-,-,MAIN BORROWER,650,Personal - Pay Day,True,False
3838,UNSECURED,426.54,-,CL,OK,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
1711,UNSECURED,593.64,-,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,False,False
3380,UNSECURED,799.03,-,OK,OK,OK,OK,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,False
1827,UNSECURED,520.0,-,-,-,CL,OK,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
174,UNSECURED,799.03,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,False,False
922,UNSECURED,572.0,-,-,-,-,-,-,-,-,-,-,CL,OK,MAIN BORROWER,550,Personal - Pay Day,True,False
1378,UNSECURED,676.0,-,-,-,-,-,-,-,CL,OK,-,-,-,MAIN BORROWER,550,Personal - Pay Day,True,False
1909,UNSECURED,1000.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
2150,UNSECURED,756.73,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Others,True,False
599,UNSECURED,305.5,-,CL,OK,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
1507,UNSECURED,780.0,-,-,-,OK,OK,-,-,-,-,-,-,-,MAIN BORROWER,750,Personal - Pay Day,True,False
3574,UNSECURED,799.03,-,CL,OK,OK,OK,OK,-,-,-,-,-,-,MAIN BORROWER,300,Personal - Pay Day,False,False
2372,UNSECURED,1121.64,120,90,60,OK,OK,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,False,False
1073,UNSECURED,636.24,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
1943,UNSECURED,636.24,-,CL,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
1894,UNSECURED,431.8,-,-,CL,OK,OK,-,-,-,-,-,-,-,MAIN BORROWER,700,Personal - Pay Day,True,True
1597,SECURED,111050.34,90,60,30,CL,OK,OK,OK,-,-,-,-,-,MAIN BORROWER,200000,Personal - Pay Day,False,False
284,UNSECURED,799.03,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,False,False
2615,SECURED,359424.11,-,OK,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,False
2547,UNSECURED,755.54,-,-,-,-,CL,OK,OK,OK,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,False,False
3602,UNSECURED,847.3,-,CL,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
61,SECURED,509948.49,-,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,650000,Business,False,False
1449,UNSECURED,522.73,-,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,True,True
3391,UNSECURED,500.0,-,CL,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,
1826,UNSECURED,876.02,CL,OK,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,True,True
1666,UNSECURED,799.03,-,-,-,CL,OK,OK,OK,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,False,False
2980,UNSECURED,800.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
1928,UNSECURED,364.14,-,-,CL,30,OK,-,-,-,-,-,-,-,MAIN BORROWER,700,Personal - Pay Day,True,False
1284,UNSECURED,635.48,-,CL,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,True,False
205,SECURED,204681.64,-,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500000,Personal - Pay Day,False,False
2070,UNSECURED,500.0,-,-,-,CL,OK,-,-,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,True,True
281,UNSECURED,600.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
2048,UNSECURED,676.0,-,-,-,-,-,CL,OK,-,-,-,-,-,MAIN BORROWER,650,Personal - Pay Day,True,False
1362,UNSECURED,312.0,-,-,-,-,CL,OK,-,-,-,-,-,-,MAIN BORROWER,550,Personal - Pay Day,True,False
1917,UNSECURED,1092.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,False
3078,UNSECURED,2872.9,-,-,-,-,-,-,-,-,-,-,-,CL,MAIN BORROWER,1000,Personal - Pay Day,False,
3085,UNSECURED,636.24,-,CL,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,True,False
1180,UNSECURED,300.0,-,-,-,CL,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
991,UNSECURED,300.0,-,CL,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,True,True
1764,UNSECURED,676.0,-,-,-,-,-,-,-,-,-,CL,OK,-,MAIN BORROWER,550,Personal - Pay Day,True,False
2757,UNSECURED,884.0,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,False
2040,UNSECURED,520.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,False
2524,UNSECURED,185.16,-,CL,OK,OK,OK,-,-,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,True,True
3714,UNSECURED,468.0,-,-,-,-,-,-,-,-,-,-,CL,-,MAIN BORROWER,450,Personal - Pay Day,True,False
3503,UNSECURED,539.66,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,False,False
1843,UNSECURED,389.34,-,-,-,-,CL,30,OK,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
1558,UNSECURED,305.5,-,-,-,-,CL,OK,OK,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
85,UNSECURED,560.25,CL,OK,OK,OK,OK,OK,-,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,False,False
2046,UNSECURED,519.12,-,-,-,CL,OK,OK,-,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,True,False
